0,SansHead,Closedeyes,,,,,,,
0,SansText,ready?,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,SansHead,noeyes,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0,SansBody,HandDown,,,,,,,
0.23333,SansSlam,1,,,,,,,
0,SansAnimation,,,,,,,,
0,BoneStab,1,44,2.15,0.2,,,,
0.3,BoneStab,0,75,0.2,0.1,,,,
0,BoneStab,2,55,0.2,0.1,,,,
0.4444,BoneStab,0,55,0.2,0.1,,,,
0,BoneStab,2,75,0.2,0.1,,,,
0.4444,BoneStab,0,75,0.2,0.1,,,,
0,BoneStab,2,55,0.2,0.1,,,,
0.4444,BoneStab,0,55,0.2,0.1,,,,
0,BoneStab,2,75,0.2,0.1,,,,
0.19,HeartMode,0,,,,,,,
0,GasterBlaster,2,0,0,239,226,225,1,0.8
0,GasterBlaster,2,640,0,404,226,315,1,0.8
0,GasterBlaster,2,0,480,239,391,135,1,0.8
0,GasterBlaster,2,640,480,404,391,45,1,0.8
0,SET,Loop,1,,,,,,
0,:RndAttack,,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,5,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,:Attack0,,,,,,,,
0,SansBody,HandRight,,,,,,,
1.2,BoneStab,1,16,0,0.8,,,,
0,BoneStab,2,16,0,0.8,,,,
0,BoneStab,3,16,0,0.8,,,,
0.1,BoneStab,1,32,0,0.7,,,,
0,BoneStab,2,32,0,0.7,,,,
0,BoneStab,3,32,0,0.7,,,,
0.1,BoneStab,1,48,0,0.6,,,,
0,BoneStab,2,48,0,0.6,,,,
0,BoneStab,3,48,0,0.6,,,,
0.1,BoneStab,1,64,0,0.5,,,,
0,BoneStab,2,64,0,0.5,,,,
0,BoneStab,3,64,0,0.5,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,SansBody,HandDown,,,,,,,
1.2,BoneStab,0,16,0,0.8,,,,
0,BoneStab,2,16,0,0.8,,,,
0,BoneStab,3,16,0,0.8,,,,
0.1,BoneStab,0,32,0,0.7,,,,
0,BoneStab,2,32,0,0.7,,,,
0,BoneStab,3,32,0,0.7,,,,
0.1,BoneStab,0,48,0,0.6,,,,
0,BoneStab,2,48,0,0.6,,,,
0,BoneStab,3,48,0,0.6,,,,
0.1,BoneStab,0,64,0,0.5,,,,
0,BoneStab,2,64,0,0.5,,,,
0,BoneStab,3,64,0,0.5,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,SansBody,HandLeft,,,,,,,
1.2,BoneStab,0,16,0,0.8,,,,
0,BoneStab,1,16,0,0.8,,,,
0,BoneStab,3,16,0,0.8,,,,
0.1,BoneStab,0,32,0,0.7,,,,
0,BoneStab,1,32,0,0.7,,,,
0,BoneStab,3,32,0,0.7,,,,
0.1,BoneStab,0,48,0,0.6,,,,
0,BoneStab,1,48,0,0.6,,,,
0,BoneStab,3,48,0,0.6,,,,
0.1,BoneStab,0,64,0,0.5,,,,
0,BoneStab,1,64,0,0.5,,,,
0,BoneStab,3,64,0,0.5,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
